frame,timestamp_sec,track_id,class,confidence,x1,y1,x2,y2
164,5.48,21,boneka-asli,0.5868,1366,581,1919,1069
164,5.48,26,boneka-asli,0.6708,838,67,1214,609
164,5.48,35,boneka-asli,0.5715,876,842,1341,1079
165,5.51,21,boneka-asli,0.5868,1353,570,1919,1074
166,5.54,26,boneka-asli,0.6708,861,56,1241,603
166,5.54,35,boneka-asli,0.5715,901,836,1374,1079
167,5.58,26,boneka-asli,0.6708,876,48,1261,599
167,5.58,35,boneka-asli,0.5715,924,835,1397,1079
168,5.61,21,boneka-asli,0.5868,1378,578,1919,1077
168,5.61,26,boneka-asli,0.6708,888,41,1277,596
168,5.61,35,boneka-asli,0.5715,940,834,1414,1079
169,5.64,26,boneka-asli,0.6708,901,35,1293,593
169,5.64,35,boneka-asli,0.5715,960,832,1436,1079
171,5.71,35,boneka-asli,0.5715,978,829,1460,1079
172,5.74,21,boneka-asli,0.5868,1449,557,1919,1078
172,5.74,35,boneka-asli,0.5715,998,827,1481,1079
173,5.78,35,boneka-asli,0.5715,1013,827,1496,1079
174,5.81,35,boneka-asli,0.5715,1029,829,1508,1079
175,5.84,35,boneka-asli,0.5715,1046,835,1517,1079
175,5.84,37,boneka-asli,0.6322,1736,600,1904,1080
176,5.88,26,boneka-asli,0.6708,937,26,1335,594
176,5.88,35,boneka-asli,0.5715,1063,845,1519,1079
176,5.88,37,boneka-asli,0.6322,1734,610,1899,1080
177,5.91,26,boneka-asli,0.6708,955,22,1358,597
177,5.91,35,boneka-asli,0.5715,1069,857,1511,1079
178,5.94,26,boneka-asli,0.6708,965,22,1371,604
178,5.94,35,boneka-asli,0.5715,1090,870,1515,1079
179,5.98,26,boneka-asli,0.6708,970,23,1379,612
179,5.98,35,boneka-asli,0.5715,1115,882,1521,1079
180,6.01,26,boneka-asli,0.6708,974,25,1385,619
180,6.01,35,boneka-asli,0.5715,1129,890,1530,1078
181,6.04,26,boneka-asli,0.6708,977,28,1389,625
182,6.08,26,boneka-asli,0.6708,977,28,1391,630
183,6.11,26,boneka-asli,0.6708,976,28,1392,635
184,6.14,26,boneka-asli,0.6708,973,31,1390,639
185,6.18,26,boneka-asli,0.6708,969,35,1386,645
186,6.21,26,boneka-asli,0.6708,963,42,1381,652
187,6.24,26,boneka-asli,0.6708,955,50,1373,659
187,6.24,37,boneka-asli,0.6322,1703,654,1864,1080
188,6.28,26,boneka-asli,0.6708,944,55,1364,666
188,6.28,37,boneka-asli,0.6322,1682,679,1850,1080
189,6.31,37,boneka-asli,0.6322,1663,695,1843,1080
190,6.34,26,boneka-asli,0.6708,925,60,1349,675
191,6.38,26,boneka-asli,0.6708,910,66,1337,680
191,6.38,37,boneka-asli,0.6322,1632,660,1848,1080
192,6.41,37,boneka-asli,0.6322,1607,670,1841,1080
193,6.44,37,boneka-asli,0.6322,1587,682,1836,1080
194,6.48,26,boneka-asli,0.6708,881,77,1306,686
194,6.48,37,boneka-asli,0.6322,1563,687,1832,1080
196,6.54,26,boneka-asli,0.6708,844,91,1266,695
196,6.54,40,boneka-asli,0.5399,1357,766,1736,968
197,6.58,26,boneka-asli,0.6708,812,102,1236,703
197,6.58,37,boneka-asli,0.6322,1554,689,1841,1079
198,6.61,37,boneka-asli,0.6322,1550,695,1849,1079
199,6.64,37,boneka-asli,0.6322,1545,695,1859,1079
200,6.68,37,boneka-asli,0.6322,1541,688,1872,1079
200,6.68,40,boneka-asli,0.5399,1323,777,1712,984
201,6.71,26,boneka-asli,0.6708,752,118,1176,718
201,6.71,37,boneka-asli,0.6322,1541,694,1877,1079
202,6.74,37,boneka-asli,0.6322,1531,694,1877,1079
202,6.74,40,boneka-asli,0.5399,1283,783,1688,997
203,6.78,26,boneka-asli,0.6708,700,134,1127,735
203,6.78,37,boneka-asli,0.6322,1501,700,1858,1079
204,6.81,26,boneka-asli,0.6708,661,144,1091,747
204,6.81,37,boneka-asli,0.6322,1479,704,1850,1079
204,6.81,40,boneka-asli,0.5399,1235,789,1661,1015
205,6.84,26,boneka-asli,0.6708,629,153,1061,758
205,6.84,37,boneka-asli,0.6322,1458,707,1844,1079
206,6.88,37,boneka-asli,0.6322,1434,719,1830,1079
206,6.88,40,boneka-asli,0.5399,1192,807,1625,1037
207,6.91,26,boneka-asli,0.6708,590,166,1028,774
207,6.91,37,boneka-asli,0.6322,1395,729,1806,1079
208,6.94,37,boneka-asli,0.6322,1384,734,1809,1079
208,6.94,40,boneka-asli,0.5399,1146,822,1585,1055
208,6.94,42,boneka-dummy,0.6458,1314,2,1787,126
209,6.98,26,boneka-asli,0.6708,545,181,984,789
209,6.98,37,boneka-asli,0.6322,1377,739,1813,1079
209,6.98,40,boneka-asli,0.5399,1115,834,1556,1067
209,6.98,42,boneka-dummy,0.6458,1305,2,1787,129
210,7.01,37,boneka-asli,0.6322,1362,746,1805,1079
210,7.01,42,boneka-dummy,0.6458,1281,2,1773,132
211,7.04,26,boneka-asli,0.6708,495,193,938,804
211,7.04,37,boneka-asli,0.6322,1313,753,1771,1079
211,7.04,42,boneka-dummy,0.6458,1255,2,1754,133
212,7.08,26,boneka-asli,0.6708,450,201,896,816
212,7.08,37,boneka-asli,0.6322,1280,755,1755,1079
212,7.08,40,boneka-asli,0.5399,1066,847,1497,1073
212,7.08,42,boneka-dummy,0.6458,1226,2,1728,134
213,7.11,37,boneka-asli,0.6322,1250,750,1747,1079
213,7.11,42,boneka-dummy,0.6458,1192,1,1695,135
214,7.14,37,boneka-asli,0.6322,1184,751,1703,1079
214,7.14,42,boneka-dummy,0.6458,1160,1,1658,134
215,7.18,26,boneka-asli,0.6708,370,206,823,827
215,7.18,37,boneka-asli,0.6322,1126,748,1668,1079
215,7.18,40,boneka-asli,0.5399,987,852,1418,1076
215,7.18,42,boneka-dummy,0.6458,1130,1,1620,133
216,7.21,26,boneka-asli,0.6708,307,205,767,835
216,7.21,37,boneka-asli,0.6322,1062,740,1636,1079
216,7.21,42,boneka-dummy,0.6458,1096,1,1581,132
217,7.25,26,boneka-asli,0.6708,251,206,718,843
217,7.25,37,boneka-asli,0.6322,988,729,1598,1079
217,7.25,42,boneka-dummy,0.6458,1059,1,1540,131
218,7.28,26,boneka-asli,0.6708,198,207,671,850
218,7.28,37,boneka-asli,0.6322,925,725,1562,1079
219,7.31,26,boneka-asli,0.6708,149,209,627,858
219,7.31,37,boneka-asli,0.6322,874,729,1522,1079
220,7.35,26,boneka-asli,0.6708,104,208,588,865
220,7.35,37,boneka-asli,0.6322,851,727,1512,1079
221,7.38,26,boneka-asli,0.6708,61,208,549,870
221,7.38,37,boneka-asli,0.6322,819,721,1499,1079
222,7.41,26,boneka-asli,0.6708,30,206,518,875
222,7.41,37,boneka-asli,0.6322,805,716,1495,1079
222,7.41,42,boneka-dummy,0.6458,949,1,1429,132
223,7.45,26,boneka-asli,0.6708,15,204,495,882
223,7.45,37,boneka-asli,0.6322,769,713,1466,1079
223,7.45,42,boneka-dummy,0.6458,875,2,1353,133
