frame,timestamp_sec,class,confidence,x1,y1,x2,y2
151,5.04,boneka-asli,0.6135,1358,611,1920,1080
151,5.04,boneka-asli,0.5328,685,865,1097,1073
151,5.04,boneka-asli,0.5187,1261,566,1787,821
152,5.07,boneka-asli,0.7338,654,134,1019,653
152,5.07,boneka-asli,0.6817,0,237,840,1080
152,5.07,boneka-asli,0.6004,1366,583,1920,1080
153,5.11,boneka-asli,0.6978,0,152,855,1080
153,5.11,boneka-asli,0.5686,715,864,1125,1080
153,5.11,boneka-asli,0.5141,666,137,1048,654
154,5.14,boneka-asli,0.6961,0,150,858,1080
154,5.14,boneka-dummy,0.6293,685,133,1052,649
154,5.14,boneka-asli,0.6194,1383,591,1919,1080
154,5.14,boneka-asli,0.6132,728,866,1140,1080
154,5.14,boneka-asli,0.5772,682,133,1061,661
155,5.18,boneka-asli,0.6176,685,123,1067,652
155,5.18,boneka-dummy,0.6100,688,123,1066,647
155,5.18,boneka-asli,0.5940,0,247,859,1080
155,5.18,boneka-asli,0.5601,737,863,1154,1080
156,5.21,boneka-asli,0.6493,708,120,1088,649
156,5.21,boneka-asli,0.5750,757,867,1168,1080
156,5.21,boneka-asli,0.5208,1322,585,1908,1080
157,5.24,boneka-dummy,0.6847,731,121,1107,639
157,5.24,boneka-asli,0.6491,1,87,880,1080
157,5.24,boneka-asli,0.6252,771,870,1188,1080
157,5.24,boneka-asli,0.6026,1409,577,1919,1080
158,5.28,boneka-asli,0.7659,1385,575,1920,1080
158,5.28,boneka-dummy,0.6707,749,112,1129,640
158,5.28,boneka-asli,0.5270,779,874,1211,1080
159,5.31,boneka-asli,0.5909,1512,605,1919,1080
159,5.31,boneka-asli,0.5759,2,191,908,1080
159,5.31,boneka-asli,0.5614,825,872,1230,1080
160,5.34,boneka-asli,0.6645,780,98,1157,636
160,5.34,boneka-asli,0.6287,836,868,1254,1080
160,5.34,boneka-dummy,0.5485,1449,569,1919,968
160,5.34,boneka-asli,0.5274,1342,630,1920,1080
160,5.34,boneka-asli,0.5010,1479,581,1918,920
161,5.38,boneka-asli,0.7592,789,87,1184,622
161,5.38,boneka-asli,0.6030,847,860,1278,1080
161,5.38,boneka-asli,0.5785,1333,591,1920,1080
162,5.41,boneka-asli,0.7753,808,79,1208,614
162,5.41,boneka-asli,0.6792,1373,605,1920,1080
162,5.41,boneka-asli,0.6187,861,864,1298,1080
162,5.41,boneka-asli,0.5482,2,164,1012,1080
163,5.44,boneka-asli,0.7395,829,63,1220,607
163,5.44,boneka-asli,0.5048,907,829,1327,1078
164,5.48,boneka-asli,0.6449,854,53,1236,600
164,5.48,boneka-dummy,0.6367,1342,563,1919,1080
164,5.48,boneka-asli,0.6069,1460,573,1919,1080
164,5.48,boneka-asli,0.5573,915,829,1354,1078
165,5.51,boneka-dummy,0.5269,1357,554,1919,1080
166,5.54,boneka-asli,0.7497,879,46,1268,599
166,5.54,boneka-asli,0.6165,941,831,1391,1079
167,5.58,boneka-asli,0.7095,880,40,1283,596
167,5.58,boneka-asli,0.5104,955,836,1409,1080
168,5.61,boneka-asli,0.7477,887,34,1300,594
168,5.61,boneka-asli,0.5960,951,833,1430,1080
168,5.61,boneka-asli,0.5091,1454,593,1919,1080
169,5.64,boneka-asli,0.5854,994,831,1452,1080
169,5.64,boneka-asli,0.5787,915,28,1305,592
171,5.71,boneka-asli,0.5797,991,823,1479,1079
172,5.74,boneka-dummy,0.6632,1701,528,1919,1080
172,5.74,boneka-asli,0.6017,1029,828,1495,1080
173,5.78,boneka-asli,0.5834,1030,826,1502,1080
174,5.81,boneka-asli,0.5777,1729,532,1919,1080
174,5.81,boneka-asli,0.5303,1044,834,1516,1080
175,5.84,boneka-asli,0.6598,1719,617,1919,1080
175,5.84,boneka-asli,0.5728,1036,845,1547,1080
176,5.88,boneka-asli,0.5788,1053,863,1539,1080
176,5.88,boneka-asli,0.5459,1702,624,1919,1080
176,5.88,boneka-dummy,0.5242,972,18,1371,596
177,5.91,boneka-asli,0.5643,974,19,1370,603
177,5.91,boneka-asli,0.5332,1008,874,1546,1080
178,5.94,boneka-asli,0.6397,975,25,1377,617
178,5.94,boneka-asli,0.5392,1089,887,1556,1080
179,5.98,boneka-asli,0.6470,977,26,1376,624
179,5.98,boneka-asli,0.5701,1095,899,1574,1078
